Scene Start,Scene End,Valence,Arousal,Dominance,Audio Energy,Spectral Centroid,mfcc1,mfcc2,mfcc3,mfcc4
15,40,5.9525,3.77361111111111,5.73361111111111,0.037469161604098,2645.11011157674,-380.548756913472,69.7894184816329,-16.3743579274299,33.0825421345018
41,60,5.2815,3.971,5.554,0.010476013259026,2717.12908390041,-391.741823402437,69.7942988378616,-17.3683426307959,28.2993864946186
61,72,6.01727272727273,3.61454545454545,5.64727272727273,0.001812903177238,3575.14108580937,-497.935414759776,16.0824503956992,-21.5775325537598,37.863636059384
73,565,5.64519348268839,3.96209775967413,5.57751527494908,0.030058338521775,2282.26139794687,-294.919823653731,93.2055917491638,-15.8279897597453,27.8880643011834
566,623,5.67982142857143,3.77,5.55892857142857,0.050843638908837,1972.13900311866,-235.837597126459,107.330884047564,-16.3225244995802,37.0353317734815
624,660,5.85605263157895,3.90315789473684,5.73131578947368,0.094081701181769,2163.6480971108,-115.965937246961,101.720211092251,-18.9742051759315,31.6926507590746
661,665,5.78428571428571,4.32285714285714,5.54571428571429,0.046694624801515,919.812006623769,-298.230422495535,166.194056163484,11.7864419954003,30.6718453151885
666,670,5.062,4.358,5.24,0.042710566197881,1118.47707860127,-289.67124014167,145.265676320891,12.9451735474682,33.6601020356787
671,680,5.5595652173913,3.80478260869565,5.82,0.037876850771866,1088.16943349866,-302.160218461891,149.185757772609,18.0155706379906,34.2349138495336
681,690,4.982,4.215,5.143,0.048957970690663,1851.98355764765,-213.807672218236,118.2327641193,-0.61565643805126,30.2621345527863
710,750,5.99186046511628,4.00604651162791,5.53139534883721,0.03156220473505,1850.38007292427,-255.511801823008,118.387015821521,-11.2561242716194,23.6460916038368
751,763,5.66416666666667,3.82458333333333,5.36166666666667,0.14525668625811,2040.55559598899,-130.375138191925,107.113979580621,-11.9383936943316,19.2377162531342
766,787,5.71454545454545,4.01484848484848,5.57454545454545,0.006400889924319,1912.67120127649,-488.926516355993,100.447026924652,20.1333253961654,29.2965217056667
788,790,5.642,4.023,5.278,0.015729923115512,2212.14174953446,-342.685753445015,82.279022503635,-59.1607339166312,10.9829552193463
791,1020,5.96335365853659,4.10060975609756,5.70932926829268,0.007050715506169,2712.06126364061,-416.68335930827,77.9480705374373,5.09985461992116,23.466984198089
1021,1040,5.74666666666667,4.06666666666667,5.54285714285714,0.014253957980692,2653.14183342646,-277.490451304585,84.0603234703815,-12.4505450105918,24.7522356950228
1041,1110,5.53689189189189,4.15459459459459,5.46391891891892,0.022831536476865,2666.58813187907,-261.437000182901,85.8557437116446,-6.35833112997455,16.5126699217858
1111,1128,5.03555555555556,4.13962962962963,5.26296296296296,0.004167976568944,2652.54820953431,-469.755687213818,82.4825773499984,6.46743259595927,9.48462346227791
1129,1160,5.67127659574468,3.91829787234042,5.2963829787234,0.008075931431209,2849.47864942238,-430.769906079572,72.1348280812533,4.21018110475917,19.664466056372
1164,1290,5.44147286821706,4.15519379844961,5.45922480620155,0.02182450810251,2691.87785272728,-278.892980175168,81.6396469199734,-7.9362539597837,19.6866473975589
1292,1320,5.98529411764706,3.71529411764706,5.72411764705882,0.025037155296522,1616.6394580322,-275.48781143114,135.270324648861,3.30740895158073,15.5388423126911
1321,1357,6.055,3.66107142857143,5.72142857142857,0.016409258763632,1398.32148291504,-362.771498749285,143.935563813682,26.6203451006444,13.6495311518605
1358,1440,5.78426470588235,3.85529411764706,5.56264705882353,0.017329448766948,1486.34913007003,-383.212906892272,122.125179314823,21.4762622324613,32.975916137664
1475,1734,5.51736263736264,4.01241758241758,5.4556043956044,0.030237515276735,2047.06176422891,-322.708271075061,104.540565207958,-2.63991629997706,30.0041525292543
1735,1740,5.47466666666667,3.67533333333333,5.53266666666667,0.116043807114381,2452.07003956768,-65.4716871080952,85.6031790408306,-23.9894529591238,22.5600097480218
1741,1814,5.36320512820513,4.05051282051282,5.49782051282051,0.069884892400856,2119.60985416343,-189.20485978453,105.147006402881,-0.296290993053713,23.0169044963257
1815,1817,5.48,3.59,5.57,0.107136279076248,2674.9770711931,-84.9836484011901,77.683948176487,-8.30084770695126,29.4519076770013
1818,1827,5.57894736842105,4.40105263157895,5.54526315789474,0.09326768966496,2275.49916561211,-156.966455468776,96.946827251558,-17.2071428850803,10.7042599563811
1828,1895,5.60135802469136,4.0941975308642,5.3941975308642,0.027702585479048,3008.06837412879,-280.814986940974,60.2369879996145,-15.9020695432214,20.1151003336802
1897,1940,5.4888,3.9082,5.5004,0.023914803278644,2607.40372424444,-283.932687845005,79.7450564618162,-18.9165342461607,20.9956384986007
1945,1975,5.66555555555556,3.75833333333333,5.57,0.005692416947891,2817.57861971891,-451.744331429186,76.7947442432573,15.8052188019898,16.0264940375019
1976,2040,5.8663829787234,4.00212765957447,5.35,0.010735940710735,2561.84888692732,-423.411052177966,87.6996969860094,11.2227229794671,14.8339557754921
2082,2140,5.72479166666667,4.04875,5.44833333333333,0.013914160707089,2689.47069720693,-366.092599668982,78.4697868347247,3.66894006283543,21.4238030835046
2144,2196,5.54379310344828,3.91603448275862,5.55775862068966,0.030814286481924,2420.72748365909,-237.646853462407,92.4471540882011,-9.14794708184749,20.9458626961006
2197,2248,6.06267605633803,3.88887323943662,5.76549295774648,0.011491450026282,3233.19663076988,-371.086546470253,58.8392543985397,7.29336662126559,25.2751145561311
2249,2285,5.67540540540541,4.1872972972973,5.2845945945946,0.027054482932833,2198.14359426534,-309.614627581895,97.7312280948959,-6.6362352063271,34.2425612541277
2310,2349,5.52417910447761,3.87970149253731,5.36925373134328,0.012623616861852,2435.27148592155,-380.366378651426,92.8859765447256,-6.92378685003401,15.2770930456976
2350,2360,5.3325,4.00416666666667,5.23583333333333,0.040901608483283,1981.05341214505,-225.614460548602,105.730357321918,-8.0777627155507,37.7407046669529
2361,2385,5.68857142857143,3.88821428571429,5.63,0.030450875838388,2177.0864263006,-231.680344981029,106.272403571424,-19.2215919547671,24.2115161793545
2386,2520,5.28503703703704,4.14044444444444,5.404,0.020513053990774,2192.47943771196,-311.27414340556,102.881297068095,4.36284609808883,25.7713651003855
2525,2570,5.62754098360656,4.16065573770492,5.65147540983607,0.028909349048476,2491.67327303562,-279.89031786402,86.7306842358086,-10.5541531775655,19.2325481576966
2575,2668,5.49975308641975,4.15567901234568,5.41148148148148,0.013968713888899,2656.95388878948,-371.114742185749,82.9671765097834,5.23348226532397,16.9347567306464
2669,2710,5.66214285714286,4.14928571428572,5.59857142857143,0.023875882987556,3063.21293757425,-305.052814283881,62.0056090642317,-8.7426173433354,16.8904068569159
2712,2875,5.28859060402685,4.12187919463087,5.38369127516779,0.020911223634293,1922.95530717731,-331.757280237964,108.220722090899,6.47586271083373,29.3321926022475
2877,2885,5.461,3.882,5.566,0.048728046942789,2078.65324916977,-203.872265400734,110.4958396017,1.51186844882738,24.3733456993159
2900,3008,5.50727891156463,4.0547619047619,5.50020408163265,0.021134108517867,2480.31718497887,-300.37084527874,91.8321230974766,-9.50332618132106,19.6797605780416
3009,3062,5.90456140350877,4.11070175438597,5.65228070175439,0.029660697957508,2455.10318815573,-256.184585077192,91.3060305958656,-5.99376833471611,25.8661115580348
3063,3085,5.35479166666667,3.58416666666667,5.47708333333333,0.017642089494469,1798.24522530197,-401.74510554941,121.230911712047,15.2141660709534,19.7730627855173
3104,3120,4.99785714285714,3.36214285714286,5.05714285714286,0.013268460987686,1611.91041677412,-361.789502170978,138.255904384899,-10.2725456708715,4.99937186761991
3130,3184,5.25025,3.8175,5.67925,0.041050455329691,1636.37430345221,-290.815634246309,126.114627386541,-3.66182711821896,25.849917759213
3185,3264,5.67697674418605,3.87790697674419,5.6406976744186,0.015642488071229,2292.0120906797,-341.524455992708,92.6262355623226,5.22757761783187,31.0134102185511
3275,3439,5.23634146341463,4.29617886178862,5.21837398373984,0.019039574685243,2518.0456794879,-327.908473843345,87.2657801584632,-2.47192796468195,18.0269318736007
3495,3507,5.81979166666667,4.28020833333333,5.643125,0.024463663201588,2230.52546482355,-278.166551842196,102.480506098968,-1.37808932819974,30.6990971360978
3509,3523,5.69218181818182,3.84309090909091,5.54509090909091,0.018765193324113,2079.62444588092,-316.826073156822,109.26341520273,4.91294333003711,25.7442050350211
3524,3545,5.57026315789474,4.07394736842105,5.405,0.018945262659513,2897.38442225401,-308.317301269392,70.7433870079626,-0.59569081971628,19.8677171101684
3546,3623,5.715,3.9348,5.5236,0.01838667961502,1836.87866633758,-345.800557720261,110.240304908841,9.4699953554227,31.2090226580552
3624,3674,5.48032258064516,4.27774193548387,5.32838709677419,0.024397735735026,2535.39168336125,-229.229144092824,87.1723378642299,-2.65290805912134,21.4911563527639
3675,3689,5.72454545454546,4.11227272727273,5.57545454545454,0.052690941618115,2380.40402180186,-162.359574034547,88.9185420069075,-34.5875307588549,11.6243698850538
3690,3700,5.53666666666667,3.54333333333333,5.88666666666667,0.012315890306151,2519.60473256863,-293.521616964776,83.0141683833914,0.997905178283795,29.6882535858633
3701,3759,5.7669696969697,3.81545454545455,5.59484848484849,0.015299239157677,2385.19093943366,-349.862816288308,87.3686941916263,10.7788833859102,30.1948456008586
3760,3780,5.81344827586207,4.15758620689655,5.65379310344828,0.046139461185393,2563.84027380033,-198.677816933225,85.7093525128697,-12.1877958057442,23.5716192179127
3781,3845,5.61702380952381,4.08095238095238,5.42535714285714,0.031664634305935,2466.38125698017,-240.080335452313,89.2638278902479,-2.41991611508496,23.9952637105372
3848,3852,5.62333333333333,3.86222222222222,5.53333333333333,0.02025304883809,2407.4414752055,-264.243838514612,89.4762801604936,-8.62555249847695,38.4354487914451
3853,4005,5.3873595505618,3.9873595505618,5.56123595505618,0.035301368910325,2279.43093651727,-269.58067914275,100.019747615063,-4.0470093470568,25.528211064905
4006,4029,5.54875,4.0528125,5.7484375,0.072870614349667,2839.57107799337,-183.743820180926,70.3081892085833,-17.1824090226535,34.0130685201898
4030,4090,5.445,4.09222222222222,5.59333333333333,0.018167149720266,2373.80964428124,-338.936801271185,92.9978896845631,2.28494028612164,23.1079787318225
4091,4118,5.94885714285714,3.87028571428571,5.79657142857143,0.01515520782842,2706.74237947473,-317.36242775684,77.2851403892594,-33.6302026655589,6.01117501454905
4121,4305,5.71392857142857,4.22428571428572,5.57059523809524,0.008472093387288,1942.61350145414,-407.815989110456,107.260578158681,20.3044055991266,23.7767177327408
4306,4403,5.554875,4.148125,5.63475,0.032735679377515,2590.10712282563,-255.59973432502,82.3661637051901,-20.0967453299685,17.9392473864004
4404,4445,5.7354054054054,3.94783783783784,5.65837837837838,0.019677784916261,2389.33266445962,-345.918042245227,95.8396830100754,-11.3928362873612,20.1913271101824
4446,4470,5.64857142857143,4.28,5.46142857142857,0.014731942090567,2194.41862850469,-371.858486443072,105.991365698538,27.3000692291888,32.2521645706848
4484,4521,5.98066666666667,3.67,5.86866666666667,0.017939111501941,2076.73013979291,-297.592734396393,106.539979351735,-16.4729830631076,11.7316735709121
4522,4555,5.39825,3.8495,5.332,0.015621478167183,2109.65814718611,-354.439252435079,100.38405290494,-9.18040723910507,12.8095989279084
4556,4585,5.66153846153846,4.10384615384615,5.44307692307692,0.074717000193572,1924.37719867322,-127.555905935152,115.428355964935,-22.2399115619001,26.3882888554587
4586,4685,5.87225352112676,4.08338028169014,5.69239436619718,0.015967471285501,3279.17639563883,-381.480982645625,54.4268411248312,-0.901495805019799,23.2398241172093
4686,4800,5.5573417721519,4.0853164556962,5.54227848101266,0.01660154273653,2501.28462963807,-390.6466073796,84.6580922888728,7.66580346601481,26.0661201842086
4801,4825,5.39833333333333,3.49833333333333,5.45083333333333,0.109300726506932,2206.61612571481,-92.577982029279,100.402203017416,-7.47444599303041,26.7875803151106
4830,4845,5.76076923076923,3.74461538461539,5.58384615384615,0.079264443775097,1995.03100830638,-149.181481222072,111.743713071376,-14.864100072664,29.9094897277392
4846,4880,5.524,3.78771428571429,5.41657142857143,0.064076710793728,2101.90884670084,-233.532485902728,104.591582387118,-12.4740970071159,20.893360670062
4890,4925,5.37842105263158,4.16631578947368,5.32947368421053,0.028063178463037,2486.5547461466,-302.10361916991,83.3017041565829,-8.3091314128895,24.1617878408799
4951,4970,5.4245652173913,4.14173913043478,5.56217391304348,0.045380293232211,2118.84491466771,-217.960759266458,108.465977565471,-6.99290616295631,25.6886079347087
5010,5036,5.56103448275862,3.93793103448276,5.64551724137931,0.022899851123345,1992.94956718077,-301.940648883453,113.567540382241,-9.13326681478226,11.7522458193623
5055,5070,4.90375,4.99625,4.80125,0.022469380043063,2958.19228866191,-317.768603800177,57.6427915175798,-23.2179565935937,13.2683704332053
5100,5156,5.18,4.3325,5.39153846153846,0.099853363810979,2155.30286385098,-120.788397088457,105.590870015147,-13.0128141958912,26.4337679476129
5165,5245,5.439,3.98075,5.446625,0.033916985944105,2446.4845109198,-250.378740963244,89.7750494175484,-11.9160101085874,20.2673244751957
5246,5258,5.29533333333333,4.06866666666667,5.41733333333333,0.176059254449502,2170.34722482493,-54.6473947658173,101.348650592216,-4.3898850858772,25.3269661347277
5259,5303,5.42310344827586,4.31327586206897,5.56344827586207,0.056738924806432,2761.32758841632,-179.389274227618,73.9990963112349,-20.6784735451819,14.7121864406298
5304,5319,5.68076923076923,3.91807692307692,5.60538461538462,0.050097976851348,2067.83218141941,-227.84132478118,110.147024930515,-11.8510397447238,16.4266724873455
5320,5389,5.31849315068493,4.29986301369863,5.47616438356164,0.042481566846708,2343.16682818112,-236.754205619517,96.7154986352719,-0.683459131694746,22.408626177571
5390,5730,5.4155737704918,4.26393442622951,5.50498360655738,0.038009654538963,2431.32123903147,-247.575453249682,91.6031927852919,-1.9421668127955,19.4593411120871
5731,5805,5.089375,4.36354166666667,5.39333333333333,0.022966004382252,2531.62556850439,-311.978056093383,83.7251502302564,5.14952181686802,27.1717498031515
5806,5873,5.47193548387097,4.29774193548387,5.1441935483871,0.028345850617372,2503.84476065563,-291.051734017539,87.8023213826457,-6.81607950936179,21.8247692313789
5874,5985,4.95642857142857,4.24821428571429,5.23410714285714,0.054149629294831,2377.1543923821,-225.674892348606,92.2779757253345,-6.48622943487862,21.8462302431493
5986,6010,5.12425531914894,4.49063829787234,5.41723404255319,0.100652410184186,2410.0267682673,-138.089038128198,92.5061805879223,-11.8836388250796,20.2932191419494
6026,6090,5.4966265060241,4.38578313253012,5.4566265060241,0.016594260685291,2929.58799065429,-370.514813135362,68.6824291592254,-6.89697289097012,17.7938178390593
