"Scene Start","Scene End","Valence","Arousal","Dominance","Vader neg","Vader neu","Vader pos","Vader compound","Audio Level"
"40.0","112.0","5.507142857142857","4.384166666666667","5.336785714285716","0.091","0.848","0.061","-0.5282","medium"
"112.0","129.0","4.977857142857142","4.002142857142856","5.3621428571428575","0.17","0.83","0.0","-0.7783","loud"
"130.0","148.0","5.881363636363636","4.732727272727273","5.654090909090909","0.091","0.673","0.236","0.9221","medium"
"148.0","163.0","5.287272727272727","4.054545454545454","5.453636363636364","0.141","0.805","0.054","-0.6041","medium"
"164.0","186.0","5.714857142857143","3.7305714285714284","5.700285714285715","0.057","0.897","0.046","-0.4019","medium"
"186.0","660.0","5.174498777506113","4.302078239608802","5.238410757946211","0.091","0.846","0.064","-0.9935","loud"
"661.0","684.0","5.65090909090909","3.772727272727273","5.416969696969697","0.117","0.792","0.091","-0.6486","silent"
"685.0","751.0","5.445764705882353","4.122000000000001","5.404000000000001","0.105","0.844","0.051","-0.9356","silent"
"752.0","915.0","5.114475138121547","4.061602209944751","5.277900552486187","0.09","0.862","0.048","-0.9841","medium"
"915.0","991.0","5.272499999999999","4.08925","5.334","0.092","0.833","0.075","-0.5938","medium"
"992.0","1017.0","4.615","3.6775","5.0725","0.0","1.0","0.0","0.0","silent"
"1018.0","1024.0","5.378461538461538","4.167692307692308","5.398461538461539","0.0","0.924","0.076","0.34","medium"
"1025.0","1034.0","5.375","3.95","5.2475000000000005","0.0","0.779","0.221","0.6249","medium"
"1035.0","1044.0","4.906428571428571","3.7364285714285708","5.234999999999999","0.112","0.888","0.0","-0.5267","medium"
"1045.0","1058.0","5.3277777777777775","4.573333333333333","5.605555555555556","0.0","0.948","0.052","0.2023","silent"
"1059.0","1169.0","5.036861313868613","4.115985401459854","5.304963503649635","0.067","0.898","0.036","-0.9364","silent"
"1170.0","1368.0","5.305934065934066","4.126153846153846","5.300769230769231","0.104","0.814","0.082","-0.968","silent"
"1369.0","1402.0","5.427631578947368","3.8600000000000003","5.423684210526316","0.0","0.976","0.024","0.3612","silent"
"1403.0","1424.0","5.4575471698113205","3.7830188679245285","5.515094339622642","0.03","0.924","0.046","0.4404","silent"
"1424.0","1530.0","5.6053125","3.7384375000000003","5.2993749999999995","0.098","0.829","0.073","-0.2748","silent"
"1530.0","1622.0","4.927627118644068","4.03728813559322","5.256271186440678","0.106","0.845","0.049","-0.9231","silent"
"1623.0","1647.0","5.340471698113209","4.165754716981131","5.282452830188679","0.071","0.844","0.084","0.8162","silent"
"1648.0","1864.0","5.34120253164557","4.211265822784809","5.387215189873418","0.119","0.824","0.057","-0.9871","silent"
"1865.0","1984.0","5.5287500000000005","4.0565625","5.4506250000000005","0.073","0.865","0.061","-0.2844","silent"
"1985.0","1999.0","5.832","3.7640000000000002","6.023999999999999","0.071","0.929","0.0","-0.296","medium"
"2000.0","2014.0","5.236666666666667","3.4049999999999994","5.55","0.0","1.0","0.0","0.0","silent"
"2015.0","2044.0","6.042","3.886","5.346","0.0","0.95","0.05","0.0258","silent"
"2045.0","2066.0","5.735714285714287","3.85952380952381","5.5304761904761905","0.027","0.931","0.042","0.2732","silent"
"2067.0","2101.0","5.581250000000001","3.8356250000000003","5.3950000000000005","0.0","0.92","0.08","0.5411","silent"
"2102.0","2279.0","5.330488888888889","4.153333333333333","5.382844444444444","0.05","0.865","0.085","0.9848","silent"
"2280.0","2358.0","5.185625","4.212604166666666","5.228020833333334","0.105","0.851","0.044","-0.9775","silent"
"2360.0","2365.0","6.272857142857143","4.384285714285714","5.45857142857143","0.0","1.0","0.0","0.0","silent"
"2425.0","2429.0","5.482142857142857","4.090714285714285","5.667142857142857","0.129","0.786","0.085","-0.1779","medium"
"2430.0","2496.0","5.4205","4.025","5.464499999999999","0.079","0.852","0.069","-0.6747","silent"
"2436.0","2440.0","4.656666666666666","4.022500000000001","5.020833333333333","0.068","0.831","0.102","0.2732","medium"
"2497.0","2506.0","5.249230769230769","4.174615384615384","5.397692307692308","0.065","0.935","0.0","-0.1779","silent"
"2507.0","2539.0","5.4351666666666665","4.1691666666666665","5.327166666666667","0.056","0.876","0.068","0.636","loud"
"2540.0","2557.0","5.316818181818181","3.855909090909091","5.218636363636363","0.054","0.891","0.055","0.0173","loud"
"2558.0","2629.0","5.065294117647059","4.163137254901961","5.103333333333333","0.054","0.914","0.031","-0.6537","silent"
"2630.0","2644.0","5.368333333333332","4.181666666666666","4.88","0.0","1.0","0.0","0.0","silent"
"2645.0","2864.0","5.348510638297872","4.032127659574468","5.2417021276595746","0.021","0.979","0.0","-0.3899","silent"
"2681.0","2850.0","5.70763440860215","4.188817204301074","5.388709677419355","0.077","0.803","0.12","0.9295","silent"
"2865.0","2882.0","5.660697674418604","3.861162790697675","5.492093023255814","0.023","0.9","0.077","0.811","silent"
"2883.0","2909.0","5.637142857142857","4.064285714285714","5.752857142857143","0.0","0.812","0.188","0.6249","silent"
"2910.0","3429.0","5.384748201438849","4.014424460431654","5.378381294964029","0.069","0.834","0.097","0.9846","medium"
"3285.0","3319.0","5.3118965517241366","3.939137931034482","5.290344827586208","0.054","0.922","0.024","-0.6522","loud"
"3320.0","3324.0","3.17","6.35","3.62","0.0","1.0","0.0","0.0","loud"
"3325.0","3329.0","4.135","5.045","4.755","0.0","1.0","0.0","0.0","loudest"
"3330.0","3429.0","5.00948275862069","4.111896551724137","5.171724137931034","0.105","0.837","0.057","-0.894","loud"
"3429.0","3689.0","5.001228070175438","4.150350877192983","5.163684210526316","0.109","0.833","0.058","-0.9471","silent"
"3490.0","3610.0","5.457669902912621","4.20873786407767","5.591456310679614","0.116","0.807","0.077","-0.9516","silent"
"3610.0","3690.0","5.545428571428571","3.990714285714285","5.490285714285714","0.11","0.831","0.06","-0.8307","silent"
"3690.0","3751.0","5.711034482758619","4.052413793103448","5.552413793103448","0.042","0.857","0.102","0.8228","silent"
"3785.0","3935.0","5.607439024390245","4.117743902439025","5.480792682926829","0.093","0.82","0.087","-0.7564","silent"
"3936.0","4085.0","5.408244274809159","4.128702290076335","5.334351145038168","0.066","0.82","0.114","0.932","silent"
"4137.0","4140.0","5.463181818181819","4.116363636363637","5.223181818181818","0.034","0.966","0.0","-0.34","silent"
"4141.0","4360.0","5.592943722943722","4.072121212121212","5.376796536796537","0.06","0.811","0.129","0.9965","silent"
"4365.0","4430.0","5.416195652173912","3.9894565217391293","5.469782608695653","0.046","0.902","0.052","0.6153","silent"
"4495.0","4820.0","5.331420118343195","4.102248520710059","5.459585798816568","0.097","0.82","0.083","-0.5653","silent"
"4824.0","4957.0","5.506887417218543","4.239933774834436","5.4394701986754965","0.064","0.845","0.091","0.8968","silent"
"5100.0","5236.0","5.435277777777778","4.146319444444444","5.4309722222222225","0.08","0.816","0.104","0.9195","silent"
"5238.0","5274.0","5.478684210526317","4.215921052631579","5.426973684210526","0.096","0.847","0.057","-0.8242","silent"
"5280.0","5298.0","5.354736842105263","3.8952631578947363","5.2494736842105265","0.032","0.927","0.04","0.3818","medium"
"5310.0","5580.0","5.338874172185431","4.10158940397351","5.311523178807948","0.092","0.825","0.083","-0.8479","silent"
"5585.0","5598.0","5.555789473684209","4.0668421052631585","5.336842105263158","0.0","0.875","0.125","0.7506","silent"
"5600.0","5673.0","5.324719999999999","4.065359999999999","5.37392","0.097","0.842","0.062","-0.9659","silent"
"5675.0","5810.0","5.207401574803149","4.183307086614174","5.347086614173229","0.128","0.783","0.089","-0.9757","silent"
"5983.0","6010.0","4.539615384615385","4.293846153846154","4.954999999999999","0.08","0.893","0.027","-0.5994","medium"
"6033.0","6093.0","5.336944444444445","3.981944444444445","5.497499999999999","0.096","0.807","0.097","-0.2023","silent"
"6148.0","6210.0","5.440526315789472","4.304736842105264","5.186052631578948","0.07","0.819","0.111","0.7805","medium"
"6390.0","6770.0","5.1704390243902445","4.334341463414634","5.264414634146341","0.08","0.869","0.051","-0.9917","medium"
"6780.0","6810.0","5.49578947368421","4.1078947368421055","5.418157894736844","0.09","0.85","0.059","-0.533","silent"
"6811.0","6840.0","6.167692307692307","4.096153846153846","5.6657692307692304","0.014","0.869","0.117","0.8762","silent"
