Scene ID,Scene Start,Scene End,Valence,Arousal,Dominance,Vader neg,Vader neu,Vader pos,Vader compound,Audio Energy,Spectral Centroid,mfcc1,mfcc2,mfcc3,mfcc4
sc1,40,112,5.44851851851852,4.4058024691358,5.31481481481482,0.091,0.848,0.061,-0.5282,0.12305424235892,1204.48976317638,-188.772686706513,150.218567349763,-7.72359806401693,35.3742119944778
sc2,112,129,4.94384615384615,3.97461538461538,5.35615384615385,0.17,0.83,0,-0.7783,0.219573757921149,1181.11075666697,-79.1018625787301,163.183031769744,-42.3728365341692,46.2972083874921
sc3,130,148,5.844,4.798,5.651,0.091,0.673,0.236,0.9221,0.164085159069368,1615.48658721406,-80.715531048042,132.803019347373,-19.3717041221689,31.7290095398064
sc5,148,163,5.28727272727273,4.05454545454545,5.45363636363636,0.141,0.805,0.054,-0.6041,0.145644785507462,2282.57930321363,-76.9288468385987,96.284957216012,-0.709061097941286,23.6391029871695
sc6,164,186,5.69176470588235,3.74470588235294,5.685,0.057,0.897,0.046,-0.4019,0.130391304889563,2031.38623080312,-116.257120055264,99.7742352136924,4.92739823375663,39.8718270846193
sc7,186,660,5.31523676880223,4.2574651810585,5.35768802228412,0.091,0.846,0.064,-0.9935,0.257633824075585,2360.35875352176,-26.2036833702752,95.2569645650987,-1.08309288564838,19.726871480699
sc8,661,684,5.6428125,3.740625,5.3871875,0.117,0.792,0.091,-0.6486,0.022721794556619,3198.09019209602,-275.687262444834,63.2893187480537,1.18350377160293,21.5052758999544
sc9,685,751,5.42619047619048,4.12583333333333,5.3977380952381,0.105,0.844,0.051,-0.9356,0.009277430274948,2452.04170428706,-391.870388438292,95.4258697659087,-4.75942791840435,21.2976975959147
sc10,752,915,5.1766081871345,4.03573099415205,5.31473684210526,0.09,0.862,0.048,-0.9841,0.108397002468874,2282.61463420733,-218.914397663422,99.8895395428319,4.24298871681808,21.8860544019065
sc11,915,991,5.425,4.04138888888889,5.42,0.092,0.833,0.075,-0.5938,0.143236155158112,1623.27261315033,-156.001268948918,139.851491407281,2.83046396946068,16.8972646892231
sc13,992,1017,4.85333333333333,3.39666666666667,5.24333333333333,0,1,0,0,0.087272206819773,602.166883099251,-295.872632370678,202.234116674809,6.21777121037687,45.7381561447496
sc14,1018,1024,5.37846153846154,4.16769230769231,5.39846153846154,0,0.924,0.076,0.34,0.198353566015854,1993.27763961021,-43.0357667045712,104.737519639355,5.65405061974452,33.705524834998
sc15,1025,1034,5.86666666666667,3.76,5.47666666666667,0,0.779,0.221,0.6249,0.131097268035041,1564.29460474588,-122.541406101999,132.988363757836,-5.9370902034116,28.3274334833926
sc16,1035,1044,4.98384615384615,3.67615384615385,5.28692307692308,0.112,0.888,0,-0.5267,0.129480286650478,1421.87637294034,-113.714381563724,137.504698576308,-8.22588442481891,32.7435974733375
sc17,1045,1058,5.50625,4.58,5.73625,0,0.948,0.052,0.2023,0.096877403818468,2569.77373383483,-112.280262928484,92.917212326403,-0.744211246288869,25.6740833730811
sc18,1059,1169,5.08692913385827,4.08086614173228,5.36102362204724,0.067,0.898,0.036,-0.9364,0.027690502709984,2792.47590455754,-238.966305161358,82.040798454846,-7.03285617325815,23.5133928081887
sc19,1170,1368,5.39635294117647,4.06011764705882,5.40952941176471,0.104,0.814,0.082,-0.968,0.030922506092223,1639.74068485313,-382.250323215311,105.751950412667,20.2975785388824,41.7150359358258
sc67,1369,1402,5.51514285714286,3.808,5.47257142857143,0,0.976,0.024,0.3612,0.015740764617025,1825.72689721524,-347.484092699482,121.04624277978,9.71031749459293,30.3663184170081
sc68,1403,1424,5.65136363636364,3.65704545454545,5.66977272727273,0.03,0.924,0.046,0.4404,0.00942365119529,2764.78512015572,-387.567991335816,73.9043840907968,-1.37384220639456,32.3108528452559
sc20,1424,1530,5.55741935483871,3.73645161290323,5.27903225806452,0.098,0.829,0.073,-0.2748,0.013060256032063,1484.20346604678,-406.302959300802,147.872487979131,-4.76381308724044,14.9945362124124
sc21,1530,1622,5.03384615384616,3.96288461538462,5.35153846153846,0.106,0.845,0.049,-0.9231,0.056226032110241,2076.03669631793,-230.042438724102,112.284711911308,12.0637402530891,28.7027993550437
sc22,1623,1647,5.47257731958763,4.12618556701031,5.35938144329897,0.071,0.844,0.084,0.8162,0.039427397848359,2169.4317410724,-244.621904799116,105.381272782277,-2.65890333218467,26.5186884635428
sc23,1648,1864,5.39710526315789,4.19480263157895,5.42618421052632,0.119,0.824,0.057,-0.9871,0.057542965942254,1820.91776457413,-252.600106376458,122.338595705548,0.678825502030453,30.963254221868
sc24,1865,1984,5.57645161290323,4.02064516129032,5.51032258064516,0.073,0.865,0.061,-0.2844,0.031264961451162,2367.09232009318,-320.232284295041,88.4880946327901,6.01137428675862,33.254667571662
sc25,1985,1999,6.04666666666667,3.68,6.18666666666667,0.071,0.929,0,-0.296,0.138763304454433,1582.48604741911,-152.311328211819,116.15684277069,2.96768390131548,37.7599501331677
sc26,2000,2014,5.504,3.182,5.748,0,1,0,0,0.090797780258839,1788.28980249096,-157.895035339632,116.748687582755,23.7783574111726,22.4231545194115
sc27,2015,2044,5.78,3.9075,5.2,0,0.95,0.05,0.0258,0.027454977154401,1496.70252189888,-330.058636990794,140.512628129768,0.82507087116318,30.1321809176627
sc28,2045,2066,5.75315789473684,3.79368421052632,5.61105263157895,0.027,0.931,0.042,0.2732,0.02058219106921,876.06471631441,-400.123781925334,148.226309904531,4.69385518878861,46.6663722134688
sc29,2067,2101,5.58125,3.835625,5.395,0,0.92,0.08,0.5411,0.028312337801928,2191.7511196458,-271.267297319969,105.34141526691,4.43748219172005,27.184868023176
sc30,2102,2279,5.42258536585366,4.10468292682927,5.47063414634146,0.05,0.865,0.085,0.9848,0.038918084274479,2623.28658589565,-281.335189575751,88.3165510764169,-2.26001458957754,21.5702906086622
sc31,2280,2358,5.3675,4.16095238095238,5.33488095238095,0.105,0.851,0.044,-0.9775,0.06573118075646,2147.22178571109,-193.188684114039,106.772847261389,0.453746466082419,25.4851366967214
sc32,2360,2365,6.27285714285714,4.38428571428571,5.45857142857143,0,1,0,0,0.015520477124446,1525.58486756536,-295.851394964247,138.484511375622,-7.30371278129819,5.24518010866768
sc40,2425,2429,5.60384615384615,4.05769230769231,5.75230769230769,0.129,0.786,0.085,-0.1779,0.110820278298329,1689.00359812376,-130.280920571692,120.138664254357,6.76432171137085,22.8592931675873
sc41,2430,2496,5.63090909090909,3.98636363636364,5.58090909090909,0.079,0.852,0.069,-0.6747,0.073961018317449,2588.67154965698,-140.962766033703,85.7553020161284,12.9842127772237,23.7292039529016
sc34,2436,2440,4.808,3.923,5.113,0.068,0.831,0.102,0.2732,0.106912466466579,2723.48925499984,-110.629687960125,75.2748867369782,19.9389914110112,20.5273222233409
sc42,2497,2506,5.35363636363636,4.21818181818182,5.44909090909091,0.065,0.935,0,-0.1779,0.058816069434159,2139.03383049254,-225.998654588307,105.63478649061,-3.06725201011282,37.0116069669459
sc43,2507,2539,5.54425925925926,4.14666666666667,5.40296296296296,0.056,0.876,0.068,0.636,0.230830561540399,2494.78900037057,-20.4760007894673,79.0279550681061,-7.92038955816801,35.1019954681596
sc44,2540,2557,5.34176470588235,3.63823529411765,5.38058823529412,0.054,0.891,0.055,0.0173,0.264249184300828,2274.18941171771,0.830841196199744,95.2021235812588,-13.9884991971703,22.4285237124442
sc45,2558,2629,5.24674418604651,4.10046511627907,5.18395348837209,0.054,0.914,0.031,-0.6537,0.071578899254543,2516.94542755482,-200.780704228276,78.6803085419109,-10.4501006084407,25.2131226126595
sc46,2630,2644,5.36833333333333,4.18166666666667,4.88,0,1,0,0,0.046628419241804,1665.59121221131,-247.698342474367,120.786492301648,20.619648128957,37.2263486636459
sc47,2645,2864,5.57128205128205,3.93128205128205,5.38820512820513,0.021,0.979,0,-0.3899,0.075168098272071,2047.36515622315,-181.003374247923,108.613891830637,-6.16012024969527,28.0498708519006
sc33,2681,2850,5.73202247191011,4.16943820224719,5.42955056179775,0.077,0.803,0.12,0.9295,0.086263288700938,2143.42003284446,-156.759213915683,104.428270971226,-11.3467619471157,26.9022071391927
sc48,2865,2882,5.75583333333333,3.81027777777778,5.57333333333333,0.023,0.9,0.077,0.811,0.048416856828234,1684.06177246613,-240.465643503935,124.899566314601,-9.5602422545427,33.6408532018397
sc49,2883,2909,5.92666666666667,3.98833333333333,5.95166666666667,0,0.812,0.188,0.6249,0.045147288630971,1734.20835344351,-254.525638986212,128.40729157383,3.49446295244139,32.9964476394973
sc52,2910,3429,5.53522123893805,3.96911504424779,5.4679203539823,0.069,0.834,0.097,0.9846,0.131443168596644,2248.73259698239,-165.447510017414,98.5731607706634,-8.55145409471268,21.9536802631112
sc53,3285,3319,5.38890909090909,3.90745454545455,5.33018181818182,0.054,0.922,0.024,-0.6522,0.215014218836331,2194.1668279088,-24.4541933756074,108.7773280288,-16.8033070417678,14.571328099705
sc54,3320,3324,3.17,6.35,3.62,0,1,0,0,0.259066158959192,2368.5481703042,-59.9467068424303,87.884182887339,-31.5710739580996,18.0243112879046
sc55,3325,3329,4.135,5.045,4.755,0,1,0,0,0.431154397671284,2096.66726081818,53.5104967359498,104.719932799489,-18.4606412268281,17.2540566925552
sc57,3330,3429,5.2375,4.01333333333333,5.31916666666667,0.105,0.837,0.057,-0.894,0.285306849400514,2023.23449820409,3.16837931173245,114.767435501254,-8.43183858228733,17.9848154572634
sc58,3429,3689,5.13078431372549,4.10686274509804,5.23470588235294,0.109,0.833,0.058,-0.9471,0.022086337931291,1977.41531492418,-322.257023037129,119.485157940706,-2.20912812809766,21.9592246135908
sc62,3490,3610,5.53835051546392,4.19113402061856,5.64618556701031,0.116,0.807,0.077,-0.9516,0.020292372831616,1924.07211438508,-325.933805730703,117.821463637366,-3.14478169977853,26.4874069983144
sc63,3610,3690,5.72587301587302,3.9215873015873,5.60888888888889,0.11,0.831,0.06,-0.8307,0.006862035607945,1664.78348404851,-426.882878921847,137.633721576073,-13.6787573441841,16.8927264240411
sc61,3690,3751,5.7732,3.996,5.704,0.042,0.857,0.102,0.8228,0.030412581158683,2360.50475265096,-313.200564542403,94.8050417228848,-27.624705429026,17.6590433599352
sc64,3785,3935,5.63740506329114,4.08759493670886,5.53601265822785,0.093,0.82,0.087,-0.7564,0.085731923257813,2089.01568156987,-189.786475485416,108.862244194558,-7.03766075348648,20.3144251256646
sc65,3936,4085,5.58629310344828,4.0626724137931,5.45172413793103,0.066,0.82,0.114,0.932,0.016211175445617,2451.54654148831,-306.073905587971,100.998828555644,-15.5261988262132,16.1348438946474
sc66,4137,4140,5.6195,4.076,5.2895,0.034,0.966,0,-0.34,0.09309356749308,715.284029874648,-219.958687039602,205.470191421248,-0.589970722878273,37.6662705238715
sc69,4141,4360,5.74451923076923,4.02889423076923,5.45355769230769,0.06,0.811,0.129,0.9965,0.053135811902869,1971.63452932674,-268.575919637302,115.772716036807,-5.81741395166982,28.8435942072738
sc75,4365,4430,5.48170454545455,3.95056818181818,5.53295454545455,0.046,0.902,0.052,0.6153,0.028644294778707,2541.83040574833,-292.559547674915,90.3164524179234,8.65172953621542,24.1621221249736
sc79,4495,4820,5.51896551724138,4.0451724137931,5.5788275862069,0.097,0.82,0.083,-0.5653,0.027006656415962,1627.42357832731,-408.942758764051,137.043508467532,-1.24600936758998,10.2722058865566
sc80,4824,4957,5.51657718120805,4.23429530201342,5.45530201342282,0.064,0.845,0.091,0.8968,0.015082776863723,2600.11053318007,-399.386109025838,91.20710094032,-9.5952876232031,20.5768776541443
sc86,5100,5236,5.62776,4.08784,5.56488,0.08,0.816,0.104,0.9195,0.041602784032371,1918.81574845535,-337.915308441821,116.911756809395,9.11684635204588,22.3618430002249
sc87,5238,5274,5.61101449275362,4.17159420289855,5.53753623188406,0.096,0.847,0.057,-0.8242,0.033055794466479,1478.73818617284,-273.148807543336,141.24563348445,-5.41866569356062,35.1183584070633
sc88,5280,5298,5.618125,3.7375,5.43875,0.032,0.927,0.04,0.3818,0.168253421890543,1581.89187131043,-87.4056652944038,132.759942370629,19.3929085931474,13.5368811196294
sc91,5310,5580,5.48045454545455,4.0355303030303,5.43022727272727,0.092,0.825,0.083,-0.8479,0.038041426106555,1695.54965277158,-322.506286643889,132.672326545381,-3.10359803788336,23.72220247462
sc92,5585,5598,5.47055555555555,4.08166666666667,5.30388888888889,0,0.875,0.125,0.7506,0.021677944464905,1689.31773256742,-351.665290418783,139.512677023462,18.1718675318479,19.1061685417027
sc94,5600,5673,5.335,4.05645161290323,5.38822580645161,0.097,0.842,0.062,-0.9659,0.076721634512496,1746.32481555313,-229.421692734261,125.874506754049,-4.75423950988669,31.5197969024134
sc93,5675,5810,5.36261261261261,4.12387387387387,5.48,0.128,0.783,0.089,-0.9757,0.021733502083791,1300.97015541789,-405.094994351796,151.16114173008,-2.36830862760488,13.5282161736712
sc98,5983,6010,4.69190476190476,4.24,5.04904761904762,0.08,0.893,0.027,-0.5994,0.184536442483455,1047.03567963002,-147.079472261706,164.891932164212,8.72449592396038,35.4628997941059
sc100,6033,6093,5.5165625,3.9146875,5.6146875,0.096,0.807,0.097,-0.2023,0.017911821461783,1624.98259537372,-341.927961897118,139.727989025658,-20.2326111767419,22.049756207808
sc104,6148,6210,5.67393939393939,4.27212121212121,5.28090909090909,0.07,0.819,0.111,0.7805,0.185635851194053,1344.57707105098,-134.460103695202,151.48833789265,-9.34771784631137,20.0679711611933
sc107,6390,6770,5.37615606936416,4.29479768786127,5.40517341040462,0.08,0.869,0.051,-0.9917,0.170320197912542,2354.02186794703,-80.5876887222914,99.3934638645251,-7.31472638456907,24.6502272273364
sc109,6780,6810,5.7903125,4.0103125,5.6090625,0.09,0.85,0.059,-0.533,0.0368600653972,1060.69357173143,-289.757390809096,187.442437033795,-21.2398128993927,15.8862525786944
sc110,6811,6840,6.2584,4.0792,5.71,0.014,0.869,0.117,0.8762,0.034549061800873,1210.967319743,-280.066141084782,185.161549486205,-35.7205667197988,5.91874605946606
